id,name,class,latitude,longitude
106,"Dune Spreading, LLC",Composting_Sites,32.9749301680649,           -115.40676
107,Eade Ranch,Composting_Sites,36.1274101214593,           -121.01021
108,Earthbound Green Material Composting,Composting_Sites,38.33565008778775,           -122.64444
109,Earthtones Mulch Company,Composting_Sites,37.52415010024397,           -122.02795
110,Earthworm Soil Factory,Composting_Sites,39.66569006719659,           -121.73356
111,East Bay Municipal Utility District,Composting_Sites,37.82448009564436,           -122.3006
112,"ECO Nutrients, Inc. Composting Operation",Composting_Sites,41.75219003455002,           -124.1745
113,Ecology Auto Parts,Composting_Sites,34.05601015230554,           -117.36823
114,EcoSafe Environmental Solutions LLC,Composting_Sites,39.46761007027564,           -121.57441
115,Edom Hill Transfer Station,Composting_Sites,33.88543015480867,           -116.44027
116,Eel River Disposal and Resource Recovery,Composting_Sites,40.58453005286405,           -124.15417
117,El Corazon Compost Chip and Grind Op.,Composting_Sites,33.20343016475508,           -117.32718
118,El Corazon Compost Facility,Composting_Sites,33.20494016473316,           -117.32057
119,El Nido Composting Facility-Synagro West,Composting_Sites,37.13342010620887,           -120.48333
120,Eleanor Ranch,Composting_Sites,37.72509009716791,           -120.90628
121,"Elite Ag Products, LLC- Brasil Dairy",Composting_Sites,37.05878010734577,           -120.527
122,"Emerald Plains, Inc. - Demler Egg Ranch",Composting_Sites,33.81114015589692,           -117.02897
123,Engel & Gray Inc,Composting_Sites,34.95520013901398,           -120.50189
124,Evergreen Nursery,Composting_Sites,32.97072016812576,           -117.1723
125,"Evergreen Recycling, Inc.",Composting_Sites,33.95890015373128,           -118.26795
126,Expert Tree Services,Composting_Sites,37.86090009508573,           -122.20859
127,Fahy Tree Service,Composting_Sites,37.97301009336501,           -122.36412
128,Feather River Organics,Composting_Sites,39.17310007484596,           -121.54573
129,Fitz Fresh Mushroom Farm Compost Op.,Composting_Sites,36.90439010969475,           -121.7871
130,Food Waste AD Demonstration Facility,Composting_Sites,33.80077015604876,           -118.28408
131,"Foothill Soils, Inc.",Composting_Sites,34.34134014810525,           -118.52704
132,Forward Resource Recovery Facility,Composting_Sites,37.87176009491913,           -121.1848
133,Foster Farms Manure Storage Facility,Composting_Sites,37.29037010381551,           -120.70806
134,Frank Jorge Excavation,Composting_Sites,40.89881004794477,           -124.0109
135,Ft. Irwin Composting Facility,Composting_Sites,35.27479013425243,           -116.67103
136,Gabilan Ag Services,Composting_Sites,36.71609011255467,           -121.77222
137,Gabilan Fertilizer Moonglow Dairy,Composting_Sites,36.80184011125299,           -121.77637
138,"Gallo Vineyards, Inc Compost Facility",Composting_Sites,36.75940011189737,           -119.69343
139,Gardeners Community Service,Composting_Sites,34.19491015026287,           -118.38075
140,George J. Morgan and Sons,Composting_Sites,36.82887011084241,           -121.69589
141,Gilton Resource Recovery Composting Fac.,Composting_Sites,37.62108009876082,           -120.92583
142,Glaum Egg Ranch,Composting_Sites,36.98929010840347,           -121.863
143,Global Mushrooms Farm,Composting_Sites,36.99093010837851,           -121.51692
144,Golden Rain Foundation Composting Op.,Composting_Sites,33.60386015892721,           -117.7249
145,Goodyear Road Compost Facility,Composting_Sites,38.15496009056882,           -122.10769
146,GP Landscapes,Composting_Sites,38.54816008451164,           -121.41388
147,Grab N` Grow,Composting_Sites,38.40259008675638,           -122.78917
148,Graton Waste Water Treatment Plant,Composting_Sites,38.44982008602835,           -122.88137
149,"Green Earth Management, LLC",Composting_Sites,37.37129010258018,           -121.89933
150,Green Forrest Recycling and Chipping,Composting_Sites,37.00701010813383,           -120.82506
151,Green Man Materials,Composting_Sites,37.92109009416213,           -121.27676
152,Green Solutions,Composting_Sites,39.08460007621746,           -121.57555
153,Green Solutions & More,Composting_Sites,39.3366100723097,           -121.3448
154,"Green Solutions and More, Inc.",Composting_Sites,38.84046007999641,           -121.32804
155,Green Valley Recycling,Composting_Sites,36.69091011293672,           -119.7447
156,Green Waste Recycle Yard,Composting_Sites,37.96982009341401,           -122.376
157,Green/Wood Waste Grinding,Composting_Sites,34.41822014697068,           -119.68866
158,Greenbelt Carriers,Composting_Sites,38.43117008631586,           -121.70827
159,"Greencycle, Inc",Composting_Sites,33.9177201543353,           -118.06132
160,"Greenko, Inc",Composting_Sites,38.26240008891566,           -122.65978
161,GreenWaste Materials Recovery Facility,Composting_Sites,37.36558010266738,           -121.89618
162,Greenway,Composting_Sites,37.11241010652897,           -120.4338
163,Griffith Park Composting Facility,Composting_Sites,34.15064015091433,           -118.29833
164,Grimmway Farms Composting -Lancaster,Composting_Sites,34.92920013940052,           -118.29134
165,"GS Brothers, Inc.",Composting_Sites,33.84742015536562,           -118.281
166,Guziks Good Humus,Composting_Sites,36.52223011549327,           -121.41114
167,"GWS Nursery & Supplies, Inc.",Composting_Sites,33.94619015391774,           -118.17165
168,"GWS, Inc.",Composting_Sites,33.93742015404639,           -118.17208
169,Haley Farms Compost Operation,Composting_Sites,37.79639009607509,           -121.37609
170,"Hamilton Tree Services, Inc.",Composting_Sites,37.99925009296204,           -122.07662
171,Hanson Aggregates A-1 Soils,Composting_Sites,32.9056501690661,           -116.94556
172,Harbor Mulching Facility,Composting_Sites,33.75786015667671,           -118.29149
173,Harris Ranch Feeding Company,Composting_Sites,36.31544011862123,           -120.24435
174,"Harvest Power California, LLC",Composting_Sites,36.23338011986053,           -119.2682
175,Harvest- Ontario A1,Composting_Sites,34.00308015308289,           -117.64443
176,Harvest- Ontario A2,Composting_Sites,34.00308015308289,           -117.64443
177,Harvest- Ontario B1,Composting_Sites,34.00491015305603,           -117.64484
178,Harvest- Ontario B2,Composting_Sites,34.00491015305603,           -117.64484
179,Harvest- Tulare Ag. Material Composting,Composting_Sites,36.23231011987668,           -119.26835
180,Harvest-Lathrop,Composting_Sites,37.84821009528039,           -121.30781
181,Haskell Co. Industrial Composting Fac.,Composting_Sites,34.08676015185366,           -117.21668
182,Health Sanitation Services,Composting_Sites,34.92078013952569,           -120.47492
